OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,text,version,cluster_id
survival rate,percentage of ticks that survived adult engorgement,percent,Ixodida,Trait: survival rate. Definition: percentage of ticks that survived adult engorgement. Unit: percent. Organism order: Ixodida.,v4,11
fecundity,mean lifetime eggs produced by an individual female,eggs individual-1,Ixodida,Trait: fecundity. Definition: mean lifetime eggs produced by an individual female. Unit: eggs individual-1. Organism order: Ixodida.,v4,4
survival rate,percentage of ticks that survived the nymphal stage,percent,Ixodida,Trait: survival rate. Definition: percentage of ticks that survived the nymphal stage. Unit: percent. Organism order: Ixodida.,v4,11
premolt period (larval),mean time to complete larval moulting,days,Ixodida,Trait: premolt period (larval). Definition: mean time to complete larval moulting. Unit: days. Organism order: Ixodida.,v4,18
fertility,percentage of females that laid fertile eggs,percent,Ixodida,Trait: fertility. Definition: percentage of females that laid fertile eggs. Unit: percent. Organism order: Ixodida.,v4,-1
oviposition failure,mean probability of failure to oviposit,probability,Ixodida,Trait: oviposition failure. Definition: mean probability of failure to oviposit. Unit: probability. Organism order: Ixodida.,v4,-1
preoviposition period,mean duration of period before oviposition,days,Ixodida,Trait: preoviposition period. Definition: mean duration of period before oviposition. Unit: days. Organism order: Ixodida.,v4,20
ovipositional period,mean duration of ovipositional period,days,Ixodida,Trait: ovipositional period. Definition: mean duration of ovipositional period. Unit: days. Organism order: Ixodida.,v4,20
conversion efficiency index,total mg eggs produced divided by mg engorged weight,proportion,Ixodida,Trait: conversion efficiency index. Definition: total mg eggs produced divided by mg engorged weight. Unit: proportion. Organism order: Ixodida.,v4,2
fecundity rate,mean weight of egg mass per day,mg eggs day-1,Ixodida,Trait: fecundity rate. Definition: mean weight of egg mass per day. Unit: mg eggs day-1. Organism order: Ixodida.,v4,4
fecundity,individual-level weight of lifetime eggs per individual,mg eggs individual-1,Ixodida,Trait: fecundity. Definition: individual-level weight of lifetime eggs per individual. Unit: mg eggs individual-1. Organism order: Ixodida.,v4,4
hatch rate,mean hatching rate of egg batches,percent,Ixodida,Trait: hatch rate. Definition: mean hatching rate of egg batches. Unit: percent. Organism order: Ixodida.,v4,6
incubation period,median time from oviposition to hatching,days,Ixodida,Trait: incubation period. Definition: median time from oviposition to hatching. Unit: days. Organism order: Ixodida.,v4,16
weight loss,cumulative weight loss across time (see notes for time intervals),percent,Ixodida,Trait: weight loss. Definition: cumulative weight loss across time (see notes for time intervals). Unit: percent. Organism order: Ixodida.,v4,3
development rate,mean development rate per day,percent day-1,Ixodida,Trait: development rate. Definition: mean development rate per day. Unit: percent day-1. Organism order: Ixodida.,v4,13
egg mass,mean egg mass weight,mg,Ixodida,Trait: egg mass. Definition: mean egg mass weight. Unit: mg. Organism order: Ixodida.,v4,8
feed conversion rate,ability to produce eggs relative to the weight at detachment of each engorged female,percent,Ixodida,Trait: feed conversion rate. Definition: ability to produce eggs relative to the weight at detachment of each engorged female. Unit: percent. Organism order: Ixodida.,v4,2
incubation period,time from start of oviposition until first eggs hatched,days,Ixodida,Trait: incubation period. Definition: time from start of oviposition until first eggs hatched. Unit: days. Organism order: Ixodida.,v4,16
larval hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Ixodida,Trait: larval hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized. Unit: percent. Organism order: Ixodida.,v4,6
mortality,number of dead individuals per group,individuals,Ixodida,Trait: mortality. Definition: number of dead individuals per group. Unit: individuals. Organism order: Ixodida.,v4,-1
weight loss,mean weight loss,mg,Ixodida,Trait: weight loss. Definition: mean weight loss. Unit: mg. Organism order: Ixodida.,v4,3
hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Ixodida,Trait: hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized. Unit: percent. Organism order: Ixodida.,v4,6
feeding preference,mean number of individual ticks selecting to feed on human (see notes for %),individuals,Ixodida,Trait: feeding preference. Definition: mean number of individual ticks selecting to feed on human (see notes for %). Unit: individuals. Organism order: Ixodida.,v4,-1
survival rate,percent surviving to oviposition,percent,Ixodida,Trait: survival rate. Definition: percent surviving to oviposition. Unit: percent. Organism order: Ixodida.,v4,11
preoviposition period,mean duration of life stage,days,Ixodida,Trait: preoviposition period. Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,20
hatch rate,percentage of egg masses producing larvae,percent,Ixodida,Trait: hatch rate. Definition: percentage of egg masses producing larvae. Unit: percent. Organism order: Ixodida.,v4,6
development time,mean duration from when eggs were deposited to hatch,days,Ixodida,Trait: development time. Definition: mean duration from when eggs were deposited to hatch. Unit: days. Organism order: Ixodida.,v4,12
molt success rate (larval),percentage that molted,percent,Ixodida,Trait: molt success rate (larval). Definition: percentage that molted. Unit: percent. Organism order: Ixodida.,v4,7
premolt period (larval),mean duration of life stage,days,Ixodida,Trait: premolt period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,18
molt success rate (nymphal),percentage that molted,percent,Ixodida,Trait: molt success rate (nymphal). Definition: percentage that molted. Unit: percent. Organism order: Ixodida.,v4,7
premolt period,mean duration of life stage,days,Ixodida,Trait: premolt period. Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,18
premolt period (nymphal),mean duration of life stage,days,Ixodida,Trait: premolt period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,18
survival rate,percent surviving life stage,percent,Ixodida,Trait: survival rate. Definition: percent surviving life stage. Unit: percent. Organism order: Ixodida.,v4,11
fecundity,total number of eggs produced,eggs individual-1,Ixodida,Trait: fecundity. Definition: total number of eggs produced. Unit: eggs individual-1. Organism order: Ixodida.,v4,4
body mass,mean weight of female,mg,Ixodida,Trait: body mass. Definition: mean weight of female. Unit: mg. Organism order: Ixodida.,v4,8
longevity,duration for 50% mortality,days,Ixodida,Trait: longevity. Definition: duration for 50% mortality. Unit: days. Organism order: Ixodida.,v4,-1
conversion efficiency,total number of eggs produced divided by engorged weight,eggs individual-1 mg-1,Ixodida,Trait: conversion efficiency. Definition: total number of eggs produced divided by engorged weight. Unit: eggs individual-1 mg-1. Organism order: Ixodida.,v4,2
incubation period,mean duration from oviposition to hatching,days,Ixodida,Trait: incubation period. Definition: mean duration from oviposition to hatching. Unit: days. Organism order: Ixodida.,v4,16
hatch ratio,hatching ratio of eggs,percent,Ixodida,Trait: hatch ratio. Definition: hatching ratio of eggs. Unit: percent. Organism order: Ixodida.,v4,6
molting period (larval),mean duration of life stage,days,Ixodida,Trait: molting period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,18
molting ratio (larval),percentage that molted during life stage,percent,Ixodida,Trait: molting ratio (larval). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida.,v4,7
molting period (nymphal),mean duration of life stage,days,Ixodida,Trait: molting period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,18
molting ratio (nymphal),percentage that molted during life stage,percent,Ixodida,Trait: molting ratio (nymphal). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida.,v4,7
prefeeding period (larval),mean duration of life stage,days,Ixodida,Trait: prefeeding period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,17
feeding period (larval),mean duration of life stage,days,Ixodida,Trait: feeding period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,17
prefeeding period (nymphal),mean duration of life stage,days,Ixodida,Trait: prefeeding period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,17
feeding period (nymphal),mean duration of life stage,days,Ixodida,Trait: feeding period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,17
prefeeding period (adult),mean duration of life stage,days,Ixodida,Trait: prefeeding period (adult). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,17
feeding period (adult),mean duration of life stage,days,Ixodida,Trait: feeding period (adult). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida.,v4,17
lifespan,mean duration of entire life,days,Ixodida,Trait: lifespan. Definition: mean duration of entire life. Unit: days. Organism order: Ixodida.,v4,-1
fecundity,mean number of lifetime eggs by a tick,eggs individual-1,Ixodida,Trait: fecundity. Definition: mean number of lifetime eggs by a tick. Unit: eggs individual-1. Organism order: Ixodida.,v4,4
molt success rate (larval),percentage that molted during life stage,percent,Ixodida,Trait: molt success rate (larval). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida.,v4,7
molt success rate (nymphal),percentage that molted during life stage,percent,Ixodida,Trait: molt success rate (nymphal). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida.,v4,7
reproductive efficiency index,mean number of eggs per mg weight of engorged female,eggs individual-1 mg-1,Ixodida,Trait: reproductive efficiency index. Definition: mean number of eggs per mg weight of engorged female. Unit: eggs individual-1 mg-1. Organism order: Ixodida.,v4,2
pre-hatch period,number of days until hatching,days,Ixodida,Trait: pre-hatch period. Definition: number of days until hatching. Unit: days. Organism order: Ixodida.,v4,-1
mortality (larval),duration for 100% mortality (unfed larvae),weeks,Ixodida,Trait: mortality (larval). Definition: duration for 100% mortality (unfed larvae). Unit: weeks. Organism order: Ixodida.,v4,-1
mortality (nymphal),duration for 50% mortality (unfed nymphs),weeks,Ixodida,Trait: mortality (nymphal). Definition: duration for 50% mortality (unfed nymphs). Unit: weeks. Organism order: Ixodida.,v4,-1
mortality (adult),mean duration for 100% mortality (unfed adults),weeks,Ixodida,Trait: mortality (adult). Definition: mean duration for 100% mortality (unfed adults). Unit: weeks. Organism order: Ixodida.,v4,-1
fecundity rate,mean eggs produced by an individual female per day,eggs individual-1 day-1,Ixodida,Trait: fecundity rate. Definition: mean eggs produced by an individual female per day. Unit: eggs individual-1 day-1. Organism order: Ixodida.,v4,4
development time,mean time to complete nymphal devlopment,days,Ixodida,Trait: development time. Definition: mean time to complete nymphal devlopment. Unit: days. Organism order: Ixodida.,v4,12
fecundity rate,peak number of eggs per day per individual,eggs individual-1 day-1,Ixodida,Trait: fecundity rate. Definition: peak number of eggs per day per individual. Unit: eggs individual-1 day-1. Organism order: Ixodida.,v4,4
reproductive efficiency index,ratio of lifetime eggs to engorged female weight,eggs individual-1 day-1,Ixodida,Trait: reproductive efficiency index. Definition: ratio of lifetime eggs to engorged female weight. Unit: eggs individual-1 day-1. Organism order: Ixodida.,v4,2
survival rate,percentage of ticks that survived the adult stage,percent,Ixodida,Trait: survival rate. Definition: percentage of ticks that survived the adult stage. Unit: percent. Organism order: Ixodida.,v4,11
survival time,mean survival time of larvae post hatch,days,Ixodida,Trait: survival time. Definition: mean survival time of larvae post hatch. Unit: days. Organism order: Ixodida.,v4,10
longevity,mean duration of life stage as a function of body size,days,Coleoptera,Trait: longevity. Definition: mean duration of life stage as a function of body size. Unit: days. Organism order: Coleoptera.,v4,14
body size,mean dry mass. relationship between dry mass and wing length,mg,Diptera,Trait: body size. Definition: mean dry mass. relationship between dry mass and wing length. Unit: mg. Organism order: Diptera.,v4,5
mortality,time taken for 50% of adults to die,days,Diptera,Trait: mortality. Definition: time taken for 50% of adults to die. Unit: days. Organism order: Diptera.,v4,-1
survival,proportion of individuals surviving life stage (emergence rate),proportion,Diptera,Trait: survival. Definition: proportion of individuals surviving life stage (emergence rate). Unit: proportion. Organism order: Diptera.,v4,15
body size,dry mass,mg,Diptera,Trait: body size. Definition: dry mass. Unit: mg. Organism order: Diptera.,v4,5
body size,mean wing length,mm,Diptera,Trait: body size. Definition: mean wing length. Unit: mm. Organism order: Diptera.,v4,5
mortality,percentage not surviving life stage,percent,Diptera,Trait: mortality. Definition: percentage not surviving life stage. Unit: percent. Organism order: Diptera.,v4,15
survival,percentage of individuals surviving life stage (emergence rate),individuals,Diptera,Trait: survival. Definition: percentage of individuals surviving life stage (emergence rate). Unit: individuals. Organism order: Diptera.,v4,15
reproductive capacity,proportion of individuals that laid eggs after first blood meal,proportion,Diptera,Trait: reproductive capacity. Definition: proportion of individuals that laid eggs after first blood meal. Unit: proportion. Organism order: Diptera.,v4,-1
fertility,mean number of hatched eggs in an individuals lifetime,eggs individual-1,Diptera,Trait: fertility. Definition: mean number of hatched eggs in an individuals lifetime. Unit: eggs individual-1. Organism order: Diptera.,v4,4
survival rate,mean percentage surviving life stage,percent,Hymenoptera,Trait: survival rate. Definition: mean percentage surviving life stage. Unit: percent. Organism order: Hymenoptera.,v4,-1
lifespan,mean duration of entrie lifespan (from egg to adult death),days,Hymenoptera,Trait: lifespan. Definition: mean duration of entrie lifespan (from egg to adult death). Unit: days. Organism order: Hymenoptera.,v4,-1
preoviposition period,mean duration from adult emergence to onset of reproduction,days,Hymenoptera,Trait: preoviposition period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days. Organism order: Hymenoptera.,v4,20
total preoviposition period,mean duration from egg to onset of reproduction,days,Hymenoptera,Trait: total preoviposition period. Definition: mean duration from egg to onset of reproduction. Unit: days. Organism order: Hymenoptera.,v4,-1
oviposition period,mean duration of life stage,days,Hymenoptera,Trait: oviposition period. Definition: mean duration of life stage. Unit: days. Organism order: Hymenoptera.,v4,-1
fecundity,mean eggs individual-1,eggs,Hymenoptera,Trait: fecundity. Definition: mean eggs individual-1. Unit: eggs. Organism order: Hymenoptera.,v4,4
sex ratio,mean proportion of female adults cohort-1,ratio,Hymenoptera,Trait: sex ratio. Definition: mean proportion of female adults cohort-1. Unit: ratio. Organism order: Hymenoptera.,v4,-1
developmental time,mean duration of life stage,days,Hemiptera,Trait: developmental time. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera.,v4,12
longevity,mean duration of life,days,Hemiptera,Trait: longevity. Definition: mean duration of life. Unit: days. Organism order: Hemiptera.,v4,14
fecundity,mean lifetime total number of nymphs,progeny individual-1,Hemiptera,Trait: fecundity. Definition: mean lifetime total number of nymphs. Unit: progeny individual-1. Organism order: Hemiptera.,v4,4
mortality,mean percent not surviving life stage,percent,Hemiptera,Trait: mortality. Definition: mean percent not surviving life stage. Unit: percent. Organism order: Hemiptera.,v4,15
sex ratio,ratio of male psyllids to female psyllids,ratio,Hemiptera,Trait: sex ratio. Definition: ratio of male psyllids to female psyllids. Unit: ratio. Organism order: Hemiptera.,v4,-1
head capsule width,mean width of head capsule,mm,Hemiptera,Trait: head capsule width. Definition: mean width of head capsule. Unit: mm. Organism order: Hemiptera.,v4,-1
fecundity,mean liftetime eggs,eggs individual-1,Hemiptera,Trait: fecundity. Definition: mean liftetime eggs. Unit: eggs individual-1. Organism order: Hemiptera.,v4,4
cold hardiness,percent of eggs hatched after being exposed to freezing temperatures for a given duration of time,percent,Hemiptera,Trait: cold hardiness. Definition: percent of eggs hatched after being exposed to freezing temperatures for a given duration of time. Unit: percent. Organism order: Hemiptera.,v4,-1
temperature thresholds for oviposition,number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held,number of eggs,Hemiptera,Trait: temperature thresholds for oviposition. Definition: number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held. Unit: number of eggs. Organism order: Hemiptera.,v4,-1
mortality rate,inverse of mean longevity,days-1,Hemiptera,Trait: mortality rate. Definition: inverse of mean longevity. Unit: days-1. Organism order: Hemiptera.,v4,-1
fecundity,mean lifetime progeny,progeny individual-1,Hemiptera,Trait: fecundity. Definition: mean lifetime progeny. Unit: progeny individual-1. Organism order: Hemiptera.,v4,4
longevity,percent not surviving life stage,days,Hemiptera,Trait: longevity. Definition: percent not surviving life stage. Unit: days. Organism order: Hemiptera.,v4,14
fecundity rate,mean progeny per unit time,progeny individual-1 day-1,Hemiptera,Trait: fecundity rate. Definition: mean progeny per unit time. Unit: progeny individual-1 day-1. Organism order: Hemiptera.,v4,4
reproductive and post-reproductive periods,mean duration of life stage,days,Homoptera,Trait: reproductive and post-reproductive periods. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera.,v4,19
age at first reproduction,mean duration of life stage,days,Homoptera,Trait: age at first reproduction. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera.,v4,19
life cycle,mean duration of entire life cycle,days,Homoptera,Trait: life cycle. Definition: mean duration of entire life cycle. Unit: days. Organism order: Homoptera.,v4,-1
age at first reproduction,mean duration from birth to onset of reproduction,days,Hemiptera,Trait: age at first reproduction. Definition: mean duration from birth to onset of reproduction. Unit: days. Organism order: Hemiptera.,v4,19
fecundity rate,mean maximum progeny per unit time,progeny individual-1 day-1,Hemiptera,Trait: fecundity rate. Definition: mean maximum progeny per unit time. Unit: progeny individual-1 day-1. Organism order: Hemiptera.,v4,4
development rate,replicate-level mean rate of life stage completion,days-1,Homoptera,Trait: development rate. Definition: replicate-level mean rate of life stage completion. Unit: days-1. Organism order: Homoptera.,v4,12
development time,mean duration of juvenile stages and from adult emergence to the onset of reproduction,days,Homoptera,Trait: development time. Definition: mean duration of juvenile stages and from adult emergence to the onset of reproduction. Unit: days. Organism order: Homoptera.,v4,12
fecundity rate,maximum number of offspring per female per day,nymphs individual-1 day-1,Hemiptera,Trait: fecundity rate. Definition: maximum number of offspring per female per day. Unit: nymphs individual-1 day-1. Organism order: Hemiptera.,v4,4
fecundity rate,mean number of nymphs per day per female,progeny individual-1 day-1,Hemiptera,Trait: fecundity rate. Definition: mean number of nymphs per day per female. Unit: progeny individual-1 day-1. Organism order: Hemiptera.,v4,4
development rate,inverse of the mean duration of life stage,days-1,Hemiptera,Trait: development rate. Definition: inverse of the mean duration of life stage. Unit: days-1. Organism order: Hemiptera.,v4,12
fecundity,mean duration of life stage,progeny individual-1,Hemiptera,Trait: fecundity. Definition: mean duration of life stage. Unit: progeny individual-1. Organism order: Hemiptera.,v4,4
age at first reproduction,mean age at the onset of reproduction,days,Hemiptera,Trait: age at first reproduction. Definition: mean age at the onset of reproduction. Unit: days. Organism order: Hemiptera.,v4,19
post-reproductive period,mean duration of life stage,days,Homoptera,Trait: post-reproductive period. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera.,v4,19
growth rate,mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time),ug ug-1 day-1,Hemiptera,Trait: growth rate. Definition: mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time). Unit: ug ug-1 day-1. Organism order: Hemiptera.,v4,-1
body length,replicate-level mean body length,mm,Hemiptera,Trait: body length. Definition: replicate-level mean body length. Unit: mm. Organism order: Hemiptera.,v4,-1
fecundity rate,maximum progeny per unit time,progeny individual-1 day-1,Hemiptera,Trait: fecundity rate. Definition: maximum progeny per unit time. Unit: progeny individual-1 day-1. Organism order: Hemiptera.,v4,4
effective fecundity,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Homoptera,Trait: effective fecundity. Definition: mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time. Unit: nymphs unit time-1. Organism order: Homoptera.,v4,4
body size (alate),mean wet mass,mg,Homoptera,Trait: body size (alate). Definition: mean wet mass. Unit: mg. Organism order: Homoptera.,v4,5
body size (apterous),mean wet mass,mg,Homoptera,Trait: body size (apterous). Definition: mean wet mass. Unit: mg. Organism order: Homoptera.,v4,5
maximum fecundity,mean duration from onset of reproduction to maximum reproductive output,days,Hemiptera,Trait: maximum fecundity. Definition: mean duration from onset of reproduction to maximum reproductive output. Unit: days. Organism order: Hemiptera.,v4,4
fecundity rate,mean duration of life stage,progeny individual-1 day-1,Homoptera,Trait: fecundity rate. Definition: mean duration of life stage. Unit: progeny individual-1 day-1. Organism order: Homoptera.,v4,4
pre-reproductive period,mean rate of life stage completion,days,Hemiptera,Trait: pre-reproductive period. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera.,v4,-1
reproductive period,mean rate of life stage completion,days,Hemiptera,Trait: reproductive period. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera.,v4,19
post-reproductive period,mean rate of life stage completion,days,Hemiptera,Trait: post-reproductive period. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera.,v4,19
longevity,mean rate of life stage completion,days,Hemiptera,Trait: longevity. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera.,v4,14
body size (alate nymph),mean wet mass,days,Hemiptera,Trait: body size (alate nymph). Definition: mean wet mass. Unit: days. Organism order: Hemiptera.,v4,5
body size (apterous nymph),mean wet mass,days,Hemiptera,Trait: body size (apterous nymph). Definition: mean wet mass. Unit: days. Organism order: Hemiptera.,v4,5
fecundity (alate),mean lifetime offspring,days,Hemiptera,Trait: fecundity (alate). Definition: mean lifetime offspring. Unit: days. Organism order: Hemiptera.,v4,4
fecundity (apterous),mean lifetime offspring,days,Hemiptera,Trait: fecundity (apterous). Definition: mean lifetime offspring. Unit: days. Organism order: Hemiptera.,v4,4
development time,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,Homoptera,Trait: development time. Definition: mean duration of life stage as a function of rearing food type (secondstressor) and temperature. Unit: days. Organism order: Homoptera.,v4,12
longevity,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,Homoptera,Trait: longevity. Definition: mean duration of life stage as a function of rearing food type (secondstressor) and temperature. Unit: days. Organism order: Homoptera.,v4,14
fecundity,mean population-level offspring (100 individuals),days,Hemiptera,Trait: fecundity. Definition: mean population-level offspring (100 individuals). Unit: days. Organism order: Hemiptera.,v4,4
longevity,mean duration of adult lifespan as a function of temperature and the number of instars completed prior to reproductive adulthood (secondstressor),days,Homoptera,Trait: longevity. Definition: mean duration of adult lifespan as a function of temperature and the number of instars completed prior to reproductive adulthood (secondstressor). Unit: days. Organism order: Homoptera.,v4,14
fecundity,total population-level number of offspring produced,offspring,Hemiptera,Trait: fecundity. Definition: total population-level number of offspring produced. Unit: offspring. Organism order: Hemiptera.,v4,4
body size (length),mean body length,mm,Hemiptera,Trait: body size (length). Definition: mean body length. Unit: mm. Organism order: Hemiptera.,v4,5
fecundity rate,mean offspring per reproduction day,offspring individual-1 day-1,Homoptera,Trait: fecundity rate. Definition: mean offspring per reproduction day. Unit: offspring individual-1 day-1. Organism order: Homoptera.,v4,4
fecundity,mean lifetime progeny per female,progeny individual-1,Homoptera,Trait: fecundity. Definition: mean lifetime progeny per female. Unit: progeny individual-1. Organism order: Homoptera.,v4,4
body size (length),mean body length (adult),mm,Hemiptera,Trait: body size (length). Definition: mean body length (adult). Unit: mm. Organism order: Hemiptera.,v4,5
body size (mass),mean wet mass,mg,Hemiptera,Trait: body size (mass). Definition: mean wet mass. Unit: mg. Organism order: Hemiptera.,v4,5
fecundity rate (apterous),mean offspring per unit time,offspring individual-1 day-1,Homoptera,Trait: fecundity rate (apterous). Definition: mean offspring per unit time. Unit: offspring individual-1 day-1. Organism order: Homoptera.,v4,4
fecundity rate (alate),mean offspring per unit time,offspring individual-1 day-1,Homoptera,Trait: fecundity rate (alate). Definition: mean offspring per unit time. Unit: offspring individual-1 day-1. Organism order: Homoptera.,v4,4
longevity (apterous),mean duration of life stage,days,Homoptera,Trait: longevity (apterous). Definition: mean duration of life stage. Unit: days. Organism order: Homoptera.,v4,14
longevity (alate),mean duration of life stage,days,Homoptera,Trait: longevity (alate). Definition: mean duration of life stage. Unit: days. Organism order: Homoptera.,v4,14
development duration,period at 4th instar,days,Hemiptera,Trait: development duration. Definition: period at 4th instar. Unit: days. Organism order: Hemiptera.,v4,-1
fertility,number of offspring produced,number of offspring,Hemiptera,Trait: fertility. Definition: number of offspring produced. Unit: number of offspring. Organism order: Hemiptera.,v4,4
oviposition,period of oviposition in days,days,Hemiptera,Trait: oviposition. Definition: period of oviposition in days. Unit: days. Organism order: Hemiptera.,v4,-1
adult longevity,lifespan over time,days,Hemiptera,Trait: adult longevity. Definition: lifespan over time. Unit: days. Organism order: Hemiptera.,v4,14
pre-reproductive period,period of time before female aphids reproduce,days,Hemiptera,Trait: pre-reproductive period. Definition: period of time before female aphids reproduce. Unit: days. Organism order: Hemiptera.,v4,-1
reproductive period,period of time where female aphids reproduce,days,Hemiptera,Trait: reproductive period. Definition: period of time where female aphids reproduce. Unit: days. Organism order: Hemiptera.,v4,-1
nymph production,number of nymphs produced / female,number of nymphs produced / female,Hemiptera,Trait: nymph production. Definition: number of nymphs produced / female. Unit: number of nymphs produced / female. Organism order: Hemiptera.,v4,-1
longevity,aphid lifespan,days,Hemiptera,Trait: longevity. Definition: aphid lifespan. Unit: days. Organism order: Hemiptera.,v4,14
longevity,lifespan of aphids,days,Hemiptera,Trait: longevity. Definition: lifespan of aphids. Unit: days. Organism order: Hemiptera.,v4,14
fecundity,mean of daily newborn nymph counts,mean number of nymphs,Hemiptera,Trait: fecundity. Definition: mean of daily newborn nymph counts. Unit: mean number of nymphs. Organism order: Hemiptera.,v4,4
pre-reproduction period,duration of developmental phases in days,days,Hemiptera,Trait: pre-reproduction period. Definition: duration of developmental phases in days. Unit: days. Organism order: Hemiptera.,v4,19
reproduction period,duration of developmental phases in days,days,Hemiptera,Trait: reproduction period. Definition: duration of developmental phases in days. Unit: days. Organism order: Hemiptera.,v4,19
post-reproduction period,duration of developmental phases in days,days,Hemiptera,Trait: post-reproduction period. Definition: duration of developmental phases in days. Unit: days. Organism order: Hemiptera.,v4,19
survival,cumulative daily survival,lx,Hemiptera,Trait: survival. Definition: cumulative daily survival. Unit: lx. Organism order: Hemiptera.,v4,-1
average daily fecundity,daily fecundity of female aphids,mx,Hemiptera,Trait: average daily fecundity. Definition: daily fecundity of female aphids. Unit: mx. Organism order: Hemiptera.,v4,-1
development time,nymphal development time,days,Hemiptera,Trait: development time. Definition: nymphal development time. Unit: days. Organism order: Hemiptera.,v4,12
adult longevity,period from adult emergence until death,days,Hemiptera,Trait: adult longevity. Definition: period from adult emergence until death. Unit: days. Organism order: Hemiptera.,v4,14
mean fecundity,number of nymphs deposited,oviparae/gynoparae,Hemiptera,Trait: mean fecundity. Definition: number of nymphs deposited. Unit: oviparae/gynoparae. Organism order: Hemiptera.,v4,4
percent survival,percent of adult aphids that were still alive each day,percent,Hemiptera,Trait: percent survival. Definition: percent of adult aphids that were still alive each day. Unit: percent. Organism order: Hemiptera.,v4,-1
longevity,adult aphid survival,days,Hemiptera,Trait: longevity. Definition: adult aphid survival. Unit: days. Organism order: Hemiptera.,v4,14
age-specific daily fecundity,new nymphs produced each day,mean number of nymphs,Hemiptera,Trait: age-specific daily fecundity. Definition: new nymphs produced each day. Unit: mean number of nymphs. Organism order: Hemiptera.,v4,4
feeding behavior,initiation of stylet penetration of leaf tissue,percent,Hemiptera,Trait: feeding behavior. Definition: initiation of stylet penetration of leaf tissue. Unit: percent. Organism order: Hemiptera.,v4,-1
developmental time,number of days at each developmental stage,days,Hemiptera,Trait: developmental time. Definition: number of days at each developmental stage. Unit: days. Organism order: Hemiptera.,v4,12
mean longevity,mean lifespan in days,days,Hemiptera,Trait: mean longevity. Definition: mean lifespan in days. Unit: days. Organism order: Hemiptera.,v4,14
mean fecundity,mean number of offspring produced by females,female/female,Hemiptera,Trait: mean fecundity. Definition: mean number of offspring produced by females. Unit: female/female. Organism order: Hemiptera.,v4,4
Pre-reproductive average,Period from birth until first molt,days,Hemiptera,Trait: Pre-reproductive average. Definition: Period from birth until first molt. Unit: days. Organism order: Hemiptera.,v4,-1
Reproductive average,Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction,days,Hemiptera,Trait: Reproductive average. Definition: Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction. Unit: days. Organism order: Hemiptera.,v4,-1
Reproductive average daily fecundity,the number of newborn nymphs (N1) per female per day,nymphs per day,Hemiptera,Trait: Reproductive average daily fecundity. Definition: the number of newborn nymphs (N1) per female per day. Unit: nymphs per day. Organism order: Hemiptera.,v4,4
Reproductive average total fecundity,the number of newborn nymphs (N1) per female,nymphs,Hemiptera,Trait: Reproductive average total fecundity. Definition: the number of newborn nymphs (N1) per female. Unit: nymphs. Organism order: Hemiptera.,v4,4
