OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,cluster_id,n_members,best_match_id,best_match_label,confidence,reasoning,is_mapped
life cycle,mean duration of entire life cycle,days,Trait: life cycle. Definition: mean duration of entire life cycle. Unit: days.,-1,130,PATO:0000050,life span,high,"The VecTraits entry describes the mean duration of an organism's life cycle in days, which aligns with the concept of life span as a time quality related to an organism's age.",TRUE
growth rate,mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time),ug ug-1 day-1,Trait: growth rate. Definition: mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time). Unit: ug ug-1 day-1.,-1,130,PATO:0001492,growth rate,high,"The PATO:0001492 term 'growth rate' directly aligns with the VecTraits entry definition as it describes the rate of change in size of an individual entity, which matches the calculation of growth rate in the VecTraits entry.",TRUE
growth rate,mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time),ug ug-1 day-1,Trait: growth rate. Definition: mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time). Unit: ug ug-1 day-1.,-1,130,PATO:0040046,single organismal growth rate,high,"The VecTraits entry describes the growth rate of an individual organism, which aligns with the definition of 'single organismal growth rate' as the rate of change in size of an individual entity.",TRUE
body length,replicate-level mean body length,mm,Trait: body length. Definition: replicate-level mean body length. Unit: mm.,-1,130,OBA:VT0001256,body length,high,"The VecTraits entry 'body length' directly corresponds to the ontology term 'body length' which refers to the length of a multicellular organism, matching both the trait name and definition.",TRUE
body length,replicate-level mean body length,mm,Trait: body length. Definition: replicate-level mean body length. Unit: mm.,-1,130,OBA:VT0001256,body length,high,"The VecTraits entry 'body length' directly corresponds to the ontology term 'body length' which refers to the length of a multicellular organism, matching both the trait name and definition.",TRUE
body size (alate nymph),mean wet mass,days,Trait: body size (alate nymph). Definition: mean wet mass. Unit: days.,-1,130,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing the mean wet mass of an alate nymph.",TRUE
body size (alate nymph),mean wet mass,days,Trait: body size (alate nymph). Definition: mean wet mass. Unit: days.,-1,130,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing the mean wet mass of an alate nymph.",TRUE
development duration,period at 4th instar,days,Trait: development duration. Definition: period at 4th instar. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a developmental stage, which aligns with the general concept of 'duration' as a process quality.",TRUE
development duration,period at 4th instar,days,Trait: development duration. Definition: period at 4th instar. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a developmental stage, which aligns with the general concept of 'duration' as a process quality.",TRUE
pre-reproductive period,period of time before female aphids reproduce,days,Trait: pre-reproductive period. Definition: period of time before female aphids reproduce. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'pre-reproductive period' refers to a temporal extent, which aligns with the concept of 'duration' as a process quality.",TRUE
pre-reproductive period,period of time before female aphids reproduce,days,Trait: pre-reproductive period. Definition: period of time before female aphids reproduce. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'pre-reproductive period' refers to a temporal extent, which aligns with the concept of 'duration', but lacks specificity regarding the biological context of aphid reproduction.",TRUE
reproductive period,period of time where female aphids reproduce,days,Trait: reproductive period. Definition: period of time where female aphids reproduce. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a reproductive process, which aligns with the concept of 'duration'.",TRUE
reproductive period,period of time where female aphids reproduce,days,Trait: reproductive period. Definition: period of time where female aphids reproduce. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a reproductive process, which aligns with the concept of 'duration'.",TRUE
nymph production,number of nymphs produced / female,number of nymphs produced / female,Trait: nymph production. Definition: number of nymphs produced / female. Unit: number of nymphs produced / female.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms relate to the concept of nymph production, which is specific to the reproductive output of female organisms, not cytokine or serotonin production.",FALSE
nymph production,number of nymphs produced / female,number of nymphs produced / female,Trait: nymph production. Definition: number of nymphs produced / female. Unit: number of nymphs produced / female.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms relate to nymph production, which is specific to the reproductive output of female organisms, not cytokine or serotonin production.",FALSE
survival,cumulative daily survival,lx,Trait: survival. Definition: cumulative daily survival. Unit: lx.,-1,130,PATO:0000719,viable,medium,"The term 'viable' relates to the ability to survive, which aligns with the concept of cumulative daily survival, although it is not a perfect match.",TRUE
survival,cumulative daily survival,lx,Trait: survival. Definition: cumulative daily survival. Unit: lx.,-1,130,PATO:0000719,viable,medium,"The term 'viable' relates to the ability to survive, which aligns with the concept of cumulative daily survival, although it is not a perfect match.",TRUE
adult longevity,period from adult emergence until death,days,Trait: adult longevity. Definition: period from adult emergence until death. Unit: days.,-1,130,OBA:VT0005372,life span determination trait,high,The term 'life span determination trait' closely aligns with the concept of 'adult longevity' as it pertains to the determination of adult lifespan.,TRUE
adult longevity,period from adult emergence until death,days,Trait: adult longevity. Definition: period from adult emergence until death. Unit: days.,-1,130,OBA:VT0005372,life span determination trait,high,The term 'life span determination trait' closely aligns with the concept of 'adult longevity' as it pertains to the determination of adult lifespan.,TRUE
percent survival,percent of adult aphids that were still alive each day,percent,Trait: percent survival. Definition: percent of adult aphids that were still alive each day. Unit: percent.,-1,130,PATO:0000719,viable,medium,"The term 'viable' relates to the ability to survive, which aligns with the concept of 'percent survival' in aphids, although it is not a perfect match.",TRUE
percent survival,percent of adult aphids that were still alive each day,percent,Trait: percent survival. Definition: percent of adult aphids that were still alive each day. Unit: percent.,-1,130,PATO:0000719,viable,medium,"The term 'viable' relates to the ability to survive, which aligns with the concept of 'percent survival' in aphids, although it is not a perfect match.",TRUE
feeding behavior,initiation of stylet penetration of leaf tissue,percent,Trait: feeding behavior. Definition: initiation of stylet penetration of leaf tissue. Unit: percent.,-1,130,OBA:1000748,feeding behavior quality,medium,"The VecTraits entry describes a specific aspect of feeding behavior, which aligns with the quality of feeding behavior, but the match is not perfect due to the lack of a precise definition.",TRUE
feeding behavior,initiation of stylet penetration of leaf tissue,percent,Trait: feeding behavior. Definition: initiation of stylet penetration of leaf tissue. Unit: percent.,-1,130,OBA:1000748,feeding behavior quality,medium,"The VecTraits entry describes a specific aspect of feeding behavior, which aligns with the quality of feeding behavior, but the match is not perfect due to the lack of a precise definition.",TRUE
Pre-reproductive average,Period from birth until first molt,days,Trait: Pre-reproductive average. Definition: Period from birth until first molt. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms relate to the period from birth until first molt, which is a developmental timing trait.",FALSE
Pre-reproductive average,Period from birth until first molt,days,Trait: Pre-reproductive average. Definition: Period from birth until first molt. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms relate to the period from birth until first molt, which is a developmental time trait, not covered by the provided options.",FALSE
Reproductive average,Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction,days,Trait: Reproductive average. Definition: Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction. Unit: days.,-1,130,PATO:0001434,reproductive quality,medium,"The VecTraits entry describes a period related to reproduction, which aligns with the concept of reproductive quality as it pertains to the ability to produce offspring.",TRUE
Reproductive average,Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction,days,Trait: Reproductive average. Definition: Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction. Unit: days.,-1,130,PATO:0001434,reproductive quality,medium,"The VecTraits entry describes a period related to the ability to reproduce, which aligns with the concept of 'reproductive quality' as it pertains to the ability to produce offspring.",TRUE
Post-reproductive average,period from the end of reproduction until death,days,Trait: Post-reproductive average. Definition: period from the end of reproduction until death. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of a post-reproductive period or lifespan.,FALSE
Post-reproductive average,period from the end of reproduction until death,days,Trait: Post-reproductive average. Definition: period from the end of reproduction until death. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of a post-reproductive period or lifespan.,FALSE
hypostome length,mean length of hypostome (appendage on the mouth),mm,Trait: hypostome length. Definition: mean length of hypostome (appendage on the mouth). Unit: mm.,-1,130,PATO:0000122,length,medium,"The VecTraits entry describes a measurement of length, which aligns with the general concept of 'length' in PATO, but lacks specificity to hypostome.",TRUE
hypostome length,mean length of hypostome (appendage on the mouth),mm,Trait: hypostome length. Definition: mean length of hypostome (appendage on the mouth). Unit: mm.,-1,130,PATO:0000122,length,medium,"The VecTraits entry describes a measurement of length, which aligns with the general concept of 'length' in PATO, but lacks specificity to hypostome.",TRUE
body width,mean width (engorged),mm,Trait: body width. Definition: mean width (engorged). Unit: mm.,-1,130,OBA:VT0015039,body width,high,"The VecTraits entry 'body width' directly corresponds to the ontology term 'body width' which refers to the width of a multicellular organism, matching the context of the trait.",TRUE
body width,mean width (engorged),mm,Trait: body width. Definition: mean width (engorged). Unit: mm.,-1,130,OBA:VT0015039,body width,high,The VecTraits entry 'body width' with definition 'mean width (engorged)' aligns with the ontology term 'body width' which refers to the width of a multicellular organism.,TRUE
feeding period,mean duration of feeding period,days,Trait: feeding period. Definition: mean duration of feeding period. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes the mean duration of a feeding period, which aligns with the concept of 'duration' as a process quality related to temporal extent.",TRUE
feeding period,mean duration of feeding period,days,Trait: feeding period. Definition: mean duration of feeding period. Unit: days.,-1,130,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a feeding period, which aligns with the concept of 'duration' as a process quality related to temporal extent.",TRUE
peak fecundity,day post engorgement on which an individual female laid most eggs,days,Trait: peak fecundity. Definition: day post engorgement on which an individual female laid most eggs. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically address the timing of peak fecundity, which is about the day post-engorgement when most eggs are laid, rather than the general concept of fecundity.",FALSE
peak fecundity,day post engorgement on which an individual female laid most eggs,days,Trait: peak fecundity. Definition: day post engorgement on which an individual female laid most eggs. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically address the timing of peak fecundity, which is the day post engorgement when most eggs are laid.",FALSE
Pre-Oviposition Period,Pre-oviposition period of ticks held at constant temperature,days,Trait: Pre-Oviposition Period. Definition: Pre-oviposition period of ticks held at constant temperature. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'Pre-Oviposition Period' refers to the duration of time before oviposition, which aligns with the concept of 'duration' as a process quality.",TRUE
Pre-Oviposition Period,Pre-oviposition period of ticks held at constant temperature,days,Trait: Pre-Oviposition Period. Definition: Pre-oviposition period of ticks held at constant temperature. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'Pre-Oviposition Period' refers to a temporal extent, which aligns with the concept of 'duration' as a process quality.",TRUE
Oviposition Rate,mean number of eggs per female,eggs,Trait: Oviposition Rate. Definition: mean number of eggs per female. Unit: eggs.,-1,130,PATO:0000161,rate,medium,"The term 'rate' is a general concept that can encompass the mean number of eggs per female, but it lacks specificity to oviposition.",TRUE
Oviposition Rate,mean number of eggs per female,eggs,Trait: Oviposition Rate. Definition: mean number of eggs per female. Unit: eggs.,-1,130,PATO:0000161,rate,medium,"The term 'rate' is a general concept that can encompass the mean number of eggs per female, but it lacks specificity to oviposition.",TRUE
Weight,Weight of eggs laid by an individual engorged female raised at constant temp,g,Trait: Weight. Definition: Weight of eggs laid by an individual engorged female raised at constant temp. Unit: g.,-1,130,PATO:0000125,mass,high,"The VecTraits entry describes the weight of eggs, which aligns with the concept of 'mass' as per PATO's definition for biological contexts.",TRUE
Weight,Weight of eggs laid by an individual engorged female raised at constant temp,g,Trait: Weight. Definition: Weight of eggs laid by an individual engorged female raised at constant temp. Unit: g.,-1,130,PATO:0000125,mass,high,"The VecTraits entry describes the mass of eggs, and PATO:0000125 'mass' is the most appropriate term for this biological concept.",TRUE
Weight,Weight of an individual engorged female in grams held at constant temperature,g,Trait: Weight. Definition: Weight of an individual engorged female in grams held at constant temperature. Unit: g.,-1,130,PATO:0000125,mass,high,"The VecTraits entry describes the weight of an organism, which aligns with the PATO term 'mass' as it is used for biological contexts.",TRUE
Weight,Weight of an individual engorged female in grams held at constant temperature,g,Trait: Weight. Definition: Weight of an individual engorged female in grams held at constant temperature. Unit: g.,-1,130,PATO:0000125,mass,high,"The VecTraits entry describes the weight of an engorged female in grams, which aligns with the concept of 'mass' as per PATO's definition.",TRUE
Incubation Period,Incubation period of ticks held at constant temperature,days,Trait: Incubation Period. Definition: Incubation period of ticks held at constant temperature. Unit: days.,-1,130,PATO:0001309,duration,medium,"The term 'duration' encompasses the concept of a temporal extent, which aligns with the incubation period of ticks, but lacks specificity regarding incubation.",TRUE
Incubation Period,Incubation period of ticks held at constant temperature,days,Trait: Incubation Period. Definition: Incubation period of ticks held at constant temperature. Unit: days.,-1,130,PATO:0001309,duration,medium,"The term 'duration' encompasses the concept of a temporal extent, which aligns with the incubation period measured in days, but lacks specificity to incubation.",TRUE
Molting Period,number of days required for an individual engorged nymph to molt into an adult,days,Trait: Molting Period. Definition: number of days required for an individual engorged nymph to molt into an adult. Unit: days.,-1,130,GO:0022404,molting cycle process,medium,"The VecTraits entry describes a specific aspect of the molting cycle, which aligns with the general concept of a molting cycle process.",TRUE
Molting Period,number of days required for an individual engorged nymph to molt into an adult,days,Trait: Molting Period. Definition: number of days required for an individual engorged nymph to molt into an adult. Unit: days.,-1,130,GO:0022404,molting cycle process,medium,"The term 'molting cycle process' is the closest match to the concept of a molting period, although it lacks a definition, it is related to the molting process.",TRUE
Feeding Period,number of days required for nymphs to fully engorge,days,Trait: Feeding Period. Definition: number of days required for nymphs to fully engorge. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent (number of days) for a biological process (feeding period), which aligns with the concept of 'duration'.",TRUE
Feeding Period,number of days required for nymphs to fully engorge,days,Trait: Feeding Period. Definition: number of days required for nymphs to fully engorge. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes the temporal extent of a feeding process, which aligns with the concept of 'duration' as a process quality.",TRUE
Feeding Period of Nymphs (Days),number of days required for nymphs to fully engorge,days,Trait: Feeding Period of Nymphs (Days). Definition: number of days required for nymphs to fully engorge. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'Feeding Period of Nymphs (Days)' refers to the temporal extent of a process, which aligns with the concept of 'duration'.",TRUE
Feeding Period of Nymphs (Days),number of days required for nymphs to fully engorge,days,Trait: Feeding Period of Nymphs (Days). Definition: number of days required for nymphs to fully engorge. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a process, which aligns with the concept of 'duration'.",TRUE
feeding period,mean Feeding Period in days at larval state at constant temps,days,Trait: feeding period. Definition: mean Feeding Period in days at larval state at constant temps. Unit: days.,-1,130,PATO:0001309,duration,high,"The VecTraits entry describes the duration of a feeding period in days, which aligns with the concept of 'duration' as a process quality.",TRUE
feeding period,mean Feeding Period in days at larval state at constant temps,days,Trait: feeding period. Definition: mean Feeding Period in days at larval state at constant temps. Unit: days.,-1,130,PATO:0001309,duration,high,"The trait 'feeding period' refers to the temporal extent of feeding at the larval stage, which aligns with the concept of 'duration' as a process quality.",TRUE
feeding period,mean Feeding Period in days at adult female state at const temps,days,Trait: feeding period. Definition: mean Feeding Period in days at adult female state at const temps. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes the duration of a feeding period, which aligns with the concept of 'duration' as a process quality.",TRUE
feeding period,mean Feeding Period in days at adult female state at const temps,days,Trait: feeding period. Definition: mean Feeding Period in days at adult female state at const temps. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of feeding in days, which aligns with the concept of 'duration' as a process quality.",TRUE
weight loss,Percentage loss in body weight during female prefeeding period,percent,Trait: weight loss. Definition: Percentage loss in body weight during female prefeeding period. Unit: percent.,-1,130,HP:0001824,Weight loss,medium,"The trait 'weight loss' during the prefeeding period aligns with the general concept of 'Weight loss', despite the lack of a specific definition in the ontology term.",TRUE
weight loss,Percentage loss in body weight during female prefeeding period,percent,Trait: weight loss. Definition: Percentage loss in body weight during female prefeeding period. Unit: percent.,-1,130,HP:0001824,Weight loss,medium,"The term 'Weight loss' aligns with the VecTraits entry on weight loss during the prefeeding period, although the lack of a definition reduces confidence.",TRUE
hardening period,mean time for a tick to become hardened,days,Trait: hardening period. Definition: mean time for a tick to become hardened. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'hardening period' refers to the time duration for a tick to become hardened, which aligns with the concept of 'duration' as a process quality.",TRUE
hardening period,mean time for a tick to become hardened,days,Trait: hardening period. Definition: mean time for a tick to become hardened. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'hardening period' refers to the time duration for a tick to become hardened, which aligns with the concept of 'duration' as a process quality.",TRUE
engorgement period,mean time required for females to become engorged,days,Trait: engorgement period. Definition: mean time required for females to become engorged. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'engorgement period' refers to the time duration for a process, which aligns with the concept of 'duration' as a process quality.",TRUE
engorgement period,mean time required for females to become engorged,days,Trait: engorgement period. Definition: mean time required for females to become engorged. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'engorgement period' refers to the time duration for a process, which aligns with the concept of 'duration' as a process quality.",TRUE
egg count,mean number of eggs layed,mg,Trait: egg count. Definition: mean number of eggs layed. Unit: mg.,-1,130,OBA:VT1000294,egg quantity,high,"The trait 'egg count' refers to the number of eggs laid, which aligns with the concept of 'egg quantity' as the amount of egg cells.",TRUE
egg count,mean number of eggs layed,mg,Trait: egg count. Definition: mean number of eggs layed. Unit: mg.,-1,130,OBA:VT1000294,egg quantity,high,"The trait 'egg count' refers to the number of eggs laid, which aligns with the concept of 'egg quantity' as the amount of egg cells.",TRUE
survival rate,percentage of unfed adults that survive,percent,Trait: survival rate. Definition: percentage of unfed adults that survive. Unit: percent.,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms specifically represent the concept of 'survival rate' as defined in the VecTraits entry.,FALSE
survival rate,percentage of unfed adults that survive,percent,Trait: survival rate. Definition: percentage of unfed adults that survive. Unit: percent.,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms specifically represent the concept of 'survival rate' as defined in the VecTraits entry.,FALSE
percent moult,percentage moulted engorged on calves,days,Trait: percent moult. Definition: percentage moulted engorged on calves. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms relate to the concept of percentage moulted engorged on calves, which is specific to a biological process in arthropods or similar organisms.",FALSE
percent moult,percentage moulted engorged on calves,days,Trait: percent moult. Definition: percentage moulted engorged on calves. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of percentage moulted engorged on calves.,FALSE
premolting period,average pre-moulting period engorged on calves,days,Trait: premolting period. Definition: average pre-moulting period engorged on calves. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'premolting period' refers to the temporal extent of a process, which aligns with the concept of 'duration'.",TRUE
premolting period,average pre-moulting period engorged on calves,days,Trait: premolting period. Definition: average pre-moulting period engorged on calves. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'premolting period' refers to the temporal extent of a process, which aligns with the concept of 'duration'.",TRUE
percent moult,percentage moulted engorged on rabbits,percent,Trait: percent moult. Definition: percentage moulted engorged on rabbits. Unit: percent.,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of percentage moulted engorged on rabbits.,FALSE
percent moult,percentage moulted engorged on rabbits,percent,Trait: percent moult. Definition: percentage moulted engorged on rabbits. Unit: percent.,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of percentage moulted engorged on rabbits.,FALSE
engorgement period,average duration of engorgement on calves,days,Trait: engorgement period. Definition: average duration of engorgement on calves. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'engorgement period' refers to the duration of a process, which aligns with the concept of 'duration' in PATO:0001309, although it is not specific to engorgement.",TRUE
engorgement period,average duration of engorgement on calves,days,Trait: engorgement period. Definition: average duration of engorgement on calves. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'engorgement period' refers to the temporal extent of a process, which aligns with the concept of 'duration'.",TRUE
engorgement period,average duration of engorgement on rabbits,days,Trait: engorgement period. Definition: average duration of engorgement on rabbits. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'engorgement period' refers to the duration of a process, which aligns with the general concept of 'duration' in PATO:0001309, though it lacks specificity to engorgement.",TRUE
engorgement period,average duration of engorgement on rabbits,days,Trait: engorgement period. Definition: average duration of engorgement on rabbits. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'engorgement period' refers to the temporal extent of a process, which aligns with the concept of 'duration' as a process quality.",TRUE
feeding time,time required for larval ticks to reach engorgement post attachment,days,Trait: feeding time. Definition: time required for larval ticks to reach engorgement post attachment. Unit: days.,-1,130,PATO:0001309,duration,high,"The VecTraits entry describes the time required for a process (feeding) to complete, which aligns with the concept of 'duration' as a process quality.",TRUE
feeding time,time required for larval ticks to reach engorgement post attachment,days,Trait: feeding time. Definition: time required for larval ticks to reach engorgement post attachment. Unit: days.,-1,130,PATO:0001309,duration,high,"The VecTraits entry describes the time required for a process (feeding) to complete, which aligns with the concept of 'duration' as the temporal extent between starting and ending points.",TRUE
molting period,time required for engorged larval ticks to molt,days,Trait: molting period. Definition: time required for engorged larval ticks to molt. Unit: days.,-1,130,GO:0022404,molting cycle process,medium,"The VecTraits entry describes a specific aspect of the molting cycle, which is the time required for larval ticks to molt, aligning with the concept of a molting cycle process.",TRUE
molting period,time required for engorged larval ticks to molt,days,Trait: molting period. Definition: time required for engorged larval ticks to molt. Unit: days.,-1,130,GO:0022404,molting cycle process,medium,"The VecTraits entry describes a specific aspect of the molting cycle, which is the time required for larval ticks to molt, aligning with the concept of a molting cycle process.",TRUE
pre hatching period,mean time until hatching,days,Trait: pre hatching period. Definition: mean time until hatching. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent (mean time until hatching), which aligns with the concept of 'duration' as a process quality.",TRUE
pre hatching period,mean time until hatching,days,Trait: pre hatching period. Definition: mean time until hatching. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from start to end, which aligns with the concept of 'duration'.",TRUE
questing,mean percent of ticks questing,percent,Trait: questing. Definition: mean percent of ticks questing. Unit: percent.,-1,130,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API,FALSE
questing,mean percent of ticks questing,percent,Trait: questing. Definition: mean percent of ticks questing. Unit: percent.,-1,130,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API,FALSE
lipid content,median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight,NA,Trait: lipid content. Definition: median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight. Unit: NA.,-1,130,OBA:VT0001547,lipid amount,high,"The VecTraits entry describes the proportion of lipid content in ticks, which aligns with the measurement of lipid amount in an anatomical entity.",TRUE
lipid content,median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight,NA,Trait: lipid content. Definition: median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight. Unit: NA.,-1,130,OBA:VT0001547,lipid amount,high,"The VecTraits entry describes the proportion of lipid content in ticks, which aligns with the measurement of lipid amount in an anatomical entity.",TRUE
Questing Height,questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Trait: Questing Height. Definition: questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm.,-1,130,PATO:0000119,height,medium,"The trait 'questing height' refers to a vertical dimension of extension, which aligns with the general concept of 'height' in PATO:0000119.",TRUE
Questing Height,questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Trait: Questing Height. Definition: questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm.,-1,130,PATO:0000119,height,medium,"The trait 'questing height' refers to a vertical measurement, aligning with the general concept of 'height' as a 1-D extent quality.",TRUE
Distance Traveled,Average distance covered per hour while questing,mm,Trait: Distance Traveled. Definition: Average distance covered per hour while questing. Unit: mm.,-1,130,PATO:0040032,increased linear velocity,medium,"The trait 'Distance Traveled' involves measuring distance over time, which aligns with the concept of linear velocity, although the term 'increased' may not fully match the average aspect.",TRUE
Distance Traveled,Average distance covered per hour while questing,mm,Trait: Distance Traveled. Definition: Average distance covered per hour while questing. Unit: mm.,-1,130,PATO:0040032,increased linear velocity,medium,"The trait 'Distance Traveled' relates to the concept of distance covered over time, which aligns with the idea of linear velocity, although the term 'increased' may not perfectly match the average aspect.",TRUE
Questing Time,Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours,percent,Trait: Questing Time. Definition: Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours. Unit: percent.,-1,130,PATO:0001309,duration,medium,"The trait 'Questing Time' involves measuring the temporal extent of a behavior, which aligns with the concept of 'duration' as a process quality.",TRUE
Questing Time,Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours,percent,Trait: Questing Time. Definition: Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours. Unit: percent.,-1,130,PATO:0001309,duration,medium,"The trait 'Questing Time' involves measuring the temporal extent of a behavior, which aligns with the concept of 'duration'.",TRUE
Questing Height,questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Trait: Questing Height. Definition: questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm.,-1,130,PATO:0000119,height,medium,"The trait 'questing height' refers to a vertical dimension of extension, which aligns with the general concept of 'height' in PATO:0000119.",TRUE
Questing Height,questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Trait: Questing Height. Definition: questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm.,-1,130,PATO:0000119,height,medium,"The term 'height' in PATO:0000119 is a general descriptor of vertical dimension, which aligns with the measurement of questing height in ticks, although it lacks specificity to the context of questing behavior.",TRUE
Mortality Rate,number that survived the 38 hours,count,Trait: Mortality Rate. Definition: number that survived the 38 hours. Unit: count.,-1,130,PATO:0001492,growth rate,low,"The concept of mortality rate involves counting survivors, which is somewhat related to population change, but none of the terms directly match mortality rate.",TRUE
Mortality Rate,number that survived the 38 hours,count,Trait: Mortality Rate. Definition: number that survived the 38 hours. Unit: count.,-1,130,PATO:0001492,growth rate,low,"The concept of mortality rate as a count of survivors over time is somewhat related to population change, but none of the terms directly match mortality rate.",TRUE
Mortality Rate,number that survived the 43 hours,count,Trait: Mortality Rate. Definition: number that survived the 43 hours. Unit: count.,-1,130,PATO:0001492,growth rate,low,"The concept of 'mortality rate' involves a change in number of a population, which is somewhat related to 'growth rate', but the match is not exact.",TRUE
Mortality Rate,number that survived the 43 hours,count,Trait: Mortality Rate. Definition: number that survived the 43 hours. Unit: count.,-1,130,PATO:0001492,growth rate,low,"The concept of mortality rate involves the change in number of a population, but the definition provided does not directly align with any candidate terms.",TRUE
